LAT,LON,X==EW,Y==NS,Z,SLIP
-31.2887,-71.4582,16.2588,34.5062,34.73,1.6595
-31.1813,-71.4449,17.5474,46.446,34.73,2.6433
-31.0739,-71.4317,18.8292,58.3856,34.73,1.8108
-30.9665,-71.4184,20.1235,70.325,34.73,1.4147
-30.8591,-71.4052,21.411,82.2643,34.73,1.408
-30.7517,-71.3919,22.7109,94.2035,34.73,1.7585
-30.6443,-71.3787,24.004,106.1425,34.73,0.9689
-30.5369,-71.3654,25.3095,118.0813,34.73,0.266
-30.4295,-71.3522,26.6083,130.02,34.73,0.1039
-30.3221,-71.3389,27.9193,141.9585,34.73,0.8191
-30.2147,-71.3257,29.2188,153.8969,34.73,0.2343
-30.1073,-71.3124,30.5402,165.8351,34.73,0.0073
-29.9999,-71.2992,31.8451,177.7732,34.73,0.0199
-29.8925,-71.2859,33.1721,189.7111,34.73,0.0793
-32.4779,-71.5165,10.5303,-97.7137,37.595,0.2238
-32.3705,-71.5033,11.7871,-85.7732,37.595,0.0961
-32.2631,-71.49,13.0516,-73.833,37.595,0.4501
-32.1557,-71.4768,14.319,-61.8928,37.595,0.503
-32.0483,-71.4635,15.594,-49.9529,37.595,0.1997
-31.9409,-71.4503,16.8625,-38.013,37.595,0.1186
-31.8335,-71.437,18.1432,-26.0734,37.595,0.3647
-31.7261,-71.4238,19.4175,-14.1338,37.595,0.5187
-31.6187,-71.4105,20.704,-2.1945,37.595,1.124
-31.5113,-71.3973,21.9839,9.7447,37.595,1.2893
-31.4039,-71.384,23.2762,21.6838,37.595,0.8986
-31.2965,-71.3708,24.5618,33.6227,37.595,1.6549
-31.1891,-71.3575,25.8597,45.5614,37.595,3.0167
-31.0817,-71.3443,27.1509,57.5,37.595,2.3468
-30.9743,-71.331,28.4545,69.4385,37.595,1.0406
-30.8669,-71.3177,29.7609,81.3767,37.595,0.7107
-30.7595,-71.3045,31.0606,93.3149,37.595,0.786
-30.6521,-71.2912,32.3725,105.2528,37.595,0.282
-30.5447,-71.278,33.6777,117.1907,37.595,0.0539
-30.4373,-71.2647,34.9953,129.1283,37.595,0.0656
-30.3299,-71.2515,36.306,141.0659,37.595,0.0953
-30.2225,-71.2382,37.6242,153.0032,37.595,0.0173
-30.1151,-71.225,38.9452,164.9404,37.595,0.0388
-30.0077,-71.2117,40.269,176.8775,37.595,0.0077
-29.9003,-71.1985,41.5954,188.8144,37.595,0.6209
-32.4857,-71.4291,18.7227,-98.5927,40.46,0.252
-32.3783,-71.4159,19.9939,-86.6533,40.46,0.1222
-32.2709,-71.4026,21.2679,-74.714,40.46,0.5205
-32.1635,-71.3894,22.5448,-62.7749,40.46,0.659
-32.0561,-71.3761,23.8294,-50.836,40.46,0.6265
-31.9487,-71.3628,25.1168,-38.8972,40.46,0.9726
-31.8413,-71.3496,26.3976,-26.9585,40.46,1.0167
-31.7339,-71.3363,27.6908,-15.02,40.46,1.2872
-31.6265,-71.3231,28.9773,-3.0816,40.46,1.4207
-31.5191,-71.3098,30.2761,8.8566,40.46,1.4918
-31.4117,-71.2966,31.5683,20.7946,40.46,1.4609
-31.3043,-71.2833,32.8728,32.7325,40.46,2.0714
-31.1969,-71.2701,34.1706,44.6702,40.46,2.7122
-31.0895,-71.2568,35.4808,56.6078,40.46,0.9989
-30.9821,-71.2436,36.7794,68.5453,40.46,0.215
-30.8747,-71.2303,38.0999,80.4825,40.46,0.3753
-30.7673,-71.2171,39.4088,92.4197,40.46,0.4333
-30.6599,-71.2038,40.7301,104.3566,40.46,0.3493
-30.5525,-71.1906,42.0445,116.2934,40.46,0.081
-30.4451,-71.1773,43.3713,128.2301,40.46,0.3935
-30.3377,-71.1641,44.6913,140.1666,40.46,0.2007
-30.2303,-71.1508,46.0187,152.1029,40.46,0.0407
-30.1229,-71.1376,47.3489,164.0391,40.46,0.0014
-30.0155,-71.1243,48.6818,175.9752,40.46,0.0987
-29.9081,-71.111,50.0271,187.911,40.46,1.1961
-32.4935,-71.3417,26.9185,-99.4784,43.325,0.233
-32.3861,-71.3284,28.2086,-87.54,43.325,0.3414
-32.2787,-71.3152,29.4828,-75.6017,43.325,1.4302
-32.1713,-71.3019,30.7787,-63.6636,43.325,1.3019
-32.0639,-71.2887,32.0634,-51.7257,43.325,1.4371
-31.9565,-71.2754,33.3603,-39.7879,43.325,1.1661
-31.8491,-71.2622,34.6506,-27.8502,43.325,1.4651
-31.7417,-71.2489,35.9532,-15.9127,43.325,2.0977
-31.6343,-71.2357,37.2492,-3.9754,43.325,2.7885
-31.5269,-71.2224,38.5575,7.9618,43.325,2.4514
-31.4195,-71.2092,39.8591,19.8988,43.325,1.7347
-31.3121,-71.1959,41.173,31.8357,43.325,2.1607
-31.2047,-71.1826,42.4897,43.7724,43.325,2.0888
-31.0973,-71.1694,43.7997,55.709,43.325,0.3206
-30.9899,-71.1561,45.1172,67.6454,43.325,0.0402
-30.8825,-71.1429,46.4374,79.5817,43.325,0.3553
